Name,Date_of_Birth,Position,Team
Trae Young,1998-09-19,Point Guard,Atlanta Hawks
John Collins,1997-09-23,Power Forward,Atlanta Hawks
Taurean Prince,1994-03-22,Power Forward and Small Forward,Atlanta Hawks
Kevin Huerter,1998-08-27,Shooting Guard,Atlanta Hawks
Dewayne Dedmon,1989-08-12,Center,Atlanta Hawks
Kent Bazemore,1989-07-01,Small Forward and Shooting Guard,Atlanta Hawks
DeAndre' Bembry,1994-07-04,Small Forward and Shooting Guard,Atlanta Hawks
Alex Len,1993-06-16,Center,Atlanta Hawks
Jeremy Lin,1988-08-23,Point Guard and Shooting Guard,Atlanta Hawks
Vince Carter,1977-01-26,Shooting Guard,Atlanta Hawks
Omari Spellman,1997-07-21,Center and Power Forward,Atlanta Hawks
Alex Poythress,1993-09-06,Power Forward,Atlanta Hawks
Deyonta Davis,1996-12-02,Center,Atlanta Hawks
Jaylen Adams,1996-05-04,Point Guard,Atlanta Hawks
Isaac Humphries,1998-01-05,Center,Atlanta Hawks
Daniel Hamilton,1995-08-08,Shooting Guard,Atlanta Hawks
Justin Anderson,1993-11-19,Small Forward and Shooting Guard,Atlanta Hawks
Miles Plumlee,1988-09-01,Center,Atlanta Hawks
Tyler Dorsey,1996-02-18,Shooting Guard,Atlanta Hawks
B.J. Johnson,1995-12-21,Small Forward,Atlanta Hawks
Tyler Zeller,1990-01-17,Center,Atlanta Hawks
Jordan Sibert,1992-08-01,Shooting Guard,Atlanta Hawks
Kyrie Irving,1992-03-23,Point Guard,Boston Celtics
Jayson Tatum,1998-03-03,Small Forward and Power Forward,Boston Celtics
Al Horford,1986-06-03,Center,Boston Celtics
Marcus Morris,1989-09-02,Power Forward and Small Forward,Boston Celtics
Marcus Smart,1994-03-06,Shooting Guard and Point Guard,Boston Celtics
R.J. Hunter,1993-10-24,Shooting Guard,Boston Celtics
Jaylen Brown,1996-10-24,Shooting Guard and Small Forward,Boston Celtics
Gordon Hayward,1990-03-23,Small Forward and Power Forward,Boston Celtics
Terry Rozier,1994-03-17,Point Guard and Shooting Guard,Boston Celtics
Aron Baynes,1986-12-09,Center,Boston Celtics
Daniel Theis,1992-04-04,Center,Boston Celtics
Semi Ojeleye,1994-12-05,Power Forward,Boston Celtics
Brad Wanamaker,1989-07-25,Point Guard,Boston Celtics
Robert Williams,1997-10-17,Center,Boston Celtics
PJ Dozier,1996-10-25,Shooting Guard and Point Guard,Boston Celtics
Guerschon Yabusele,1995-12-17,Power Forward,Boston Celtics
Greg Monroe,1990-06-04,Center and Power Forward,Boston Celtics
D'Angelo Russell,1996-02-23,Point Guard,Brooklyn Nets
Joe Harris,1991-09-06,Shooting Guard and Small Forward,Brooklyn Nets
Spencer Dinwiddie,1993-04-06,Point Guard and Shooting Guard,Brooklyn Nets
Caris LeVert,1994-08-25,Shooting Guard and Small Forward,Brooklyn Nets
Allen Crabbe,1992-04-09,Shooting Guard and Small Forward,Brooklyn Nets
Jarrett Allen,1998-04-21,Center,Brooklyn Nets
